window_panes,window_frame,window_film,VALUE (U-Value;SHGC)
SINGLE,METAL,CLEAR,1.2;0.8
SINGLE,METAL,TINT,1.2;0.6
SINGLE,METAL,LOW-E,0.7;0.7
SINGLE,NONMETAL,CLEAR,1.1;0.8
SINGLE,NONMETAL,TINT,1.1;0.6
SINGLE,NONMETAL,LOW-E,0.6;0.7
SINGLE,INSULATED,CLEAR,1.0;0.8
SINGLE,INSULATED,TINT,1.0;0.6
SINGLE,INSULATED,LOW-E,0.5;0.7
DOUBLE,METAL,CLEAR,0.7;0.7
DOUBLE,METAL,TINT,0.7;0.5
DOUBLE,METAL,LOW-E,0.5;0.6
DOUBLE,NONMETAL,CLEAR,0.6;0.7
DOUBLE,NONMETAL,TINT,0.6;0.5
DOUBLE,NONMETAL,LOW-E,0.4;0.6
DOUBLE,INSULATED,CLEAR,0.5;0.7
DOUBLE,INSULATED,TINT,0.5;0.5
DOUBLE,INSULATED,LOW-E,0.3;0.6
TRIPLE,METAL,CLEAR,0.5;0.6
TRIPLE,METAL,TINT,0.5;0.4
TRIPLE,METAL,LOW-E,0.4;0.5
TRIPLE,NONMETAL,CLEAR,0.4;0.6
TRIPLE,NONMETAL,TINT,0.4;0.4
TRIPLE,NONMETAL,LOW-E,0.3;0.5
TRIPLE,INSULATED,CLEAR,0.3;0.6
TRIPLE,INSULATED,TINT,0.3;0.4
TRIPLE,INSULATED,LOW-E,0.2;0.5
